num_users,total_checkins,global_acc_1_spec,global_hit_k_spec,global_acc_1_lvl1,global_hit_k_lvl1,cluster_acc_1_spec,cluster_hit_k_spec,cluster_acc_1_lvl1,cluster_hit_k_lvl1,fsq_cat_hit_rate_at_3,fsq_poi_hit_rate_at_3,fsq_poi_hit_rate_at_9
20,3033,18.12191103789127,24.546952224052717,46.12850082372323,87.64415156507414,19.934102141680395,29.654036243822073,53.54200988467874,84.67874794069192,23.52941176470588,5.88235294117647,23.52941176470588
50,6789,17.15758468335788,28.12960235640648,53.46097201767305,87.11340206185567,19.661266568483065,31.36966126656848,56.18556701030928,87.18703976435935,29.545454545454547,4.545454545454546,13.636363636363635
100,12279,18.729641693811075,31.636807817589574,51.26221498371335,84.69055374592834,23.04560260586319,34.609120521172635,58.10260586319218,88.07003257328991,29.577464788732392,4.225352112676056,12.676056338028168
150,18650,17.721179624664877,28.820375335120644,49.624664879356565,85.63002680965147,20.965147453083112,31.796246648793563,56.75603217158177,88.01608579088473,0.0,0.0,0.0
200,24876,17.142282958199356,29.521704180064308,49.979903536977496,84.44533762057877,21.684083601286176,31.913183279742764,56.87299035369775,88.40434083601286,0.0,0.0,0.0
300,37547,17.163781624500665,28.575233022636485,49.78695073235686,85.93874833555259,20.93209054593875,31.864181091877498,57.52330226364847,89.44074567243675,0.0,0.0,0.0
400,50869,17.357971299390602,30.656575584824065,50.84529192058187,85.68901120503244,21.761352467072932,33.182622370748966,57.814035777471986,90.11205032435619,0.0,0.0,0.0
600,75312,17.519750381730066,30.29277036446923,50.594171147845714,84.50507866958773,22.512115780389035,34.28931819690633,58.26860519152891,90.28745933744938,0.0,0.0,0.0
1083,137732,16.55352669982212,28.75086216284895,49.94010237049407,84.65894652775256,20.978690964533342,32.75855810070062,57.7776164373616,89.83555378081097,0.0,0.0,0.0
